no,部屋,本文,題を付ける,題,register,季節,時刻帯,created_at,天気,色相,トーン,エリア,trace,traceパターン,trace補足,備考
13,いじめ,親に言っても何にもならないしな、、,,,断片,夏,昼,2025-08-14 15:16,晴,143,35,,あり,2,途中で3〜8秒止まる（にじみ）,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
14,いじめ,どうして笑ってるのに涙が出るんだろう。,,,問い,夏,朝,2025-08-15 7:30,晴,168,15,,あり,5,誤変換を1回直す,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
15,生活,夕焼けが雨に濡れて、赤がにじんでいた。今日も一日終わる。,,,ちゃんとした一文,夏,夕,2025-08-15 19:26,雨,353,75,,あり,3,書いて全部消して、もう一度,
16,家族,母の昼寝の寝息が、家をやわらかくする。,,,ちゃんとした一文,夏,昼,2025-08-16 14:59,曇,208,35,,あり,5,誤変換を1回直す,
17,恋愛,好きって、いつ好きになったか分かる人いるの？,,,問い,夏,朝,2025-08-17 9:02,雨,253,75,,あり,3,書いて全部消して、もう一度,
18,人生,白い空の下、洗濯物がずっと乾かないでいる。,,,観察,夏,昼,2025-08-20 11:13,曇,280,55,,あり,5,誤変換を1回直す,
19,生活,冷房の効いた電車,,,断片,夏,昼,2025-08-21 12:43,曇,38,15,,あり,3,書いて全部消して、もう一度,
20,仕事,残業、、、,○,残業,断片,夏,夕,2025-08-22 16:47,雨,58,75,,あり,2,途中で3〜8秒止まる（にじみ）,
21,学校,朝早く行く誰もいない教室が好き,,,観察,夏,朝,2025-08-26 7:38,晴,273,35,,あり,6,最後の一語だけ書き換えて放つ,
22,音楽,夜に聴く音楽は、昼に聴くのと別の曲みたいに聞こえる。,,,ちゃんとした一文,夏,夜,2025-08-30 4:36,曇,85,55,,あり,1,一気に書いて終わり（迷いなし）,
23,音楽,秋の雨の日にだけ、なぜかこのアルバムを出してくる。,,,ちゃんとした一文,秋,昼,2025-09-01 11:06,曇,133,92,,あり,4,語尾を何度も直す,
24,心,夜、虫の音が細くなってきた。,○,虫の音,断片,秋,夜,2025-09-02 4:04,晴,44,15,,あり,4,語尾を何度も直す,
25,仕事,会議室の白いホワイトボード、消し残しの矢印。,,,観察,秋,昼,2025-09-04 14:27,曇,238,15,,なし,,,
26,仕事,蛍光灯が嫌い,,,観察,秋,夕,2025-09-04 17:52,曇,3,92,,あり,1,一気に書いて終わり（迷いなし）,
27,仕事,通勤の傘の群れ、みんな下を向いている。,,,観察,秋,朝,2025-09-07 8:27,雨,106,15,,あり,1,一気に書いて終わり（迷いなし）,
28,世界,秋の夕方はずるい。,,,雑な一行,秋,夕,2025-09-08 16:36,曇,108,15,,あり,5,誤変換を1回直す,
29,家族,父が久しぶりに笑った。それだけで今日はよかった。,○,父の笑顔,ちゃんとした一文,秋,夜,2025-09-12 2:10,晴,149,35,,なし,,,
30,恋愛,秋の朝、なんで急に人恋しくなるんだろうね。,,,問い,秋,朝,2025-09-14 9:40,晴,8,15,,あり,5,誤変換を1回直す,
31,世界,落ち葉が雨に貼りついて、はがれない。,,,雑な一行,秋,夕,2025-09-14 17:38,雨,343,35,,あり,3,書いて全部消して、もう一度,
32,人生,答えは出てるのに、認めたくないだけで、,○,認めたくない,断片,秋,夕,2025-09-17 18:35,曇,226,75,,あり,4,語尾を何度も直す,
33,学校,文化祭の準備、みんなの声が体育館に反響していた。,,,断片,秋,昼,2025-09-19 13:31,晴,28,75,,なし,,,
34,心,それでいい、そのままでいい、きっと,,,ちゃんとした一文,秋,朝,2025-09-20 5:21,曇,231,92,,なし,,,
35,心,雨に濡れた金木犀,,,観察,秋,昼,2025-09-21 11:13,雨,48,35,,あり,2,途中で3〜8秒止まる（にじみ）,
36,いじめ,教室の窓ぎわの光,,,観察,秋,夕,2025-09-21 19:06,晴,291,75,,なし,,,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
37,学校,秋雨に濡れ制服の袖が重くなる帰り道ひとり傘の音きく,,,三十一文字,秋,朝,2025-09-22 5:04,雨,243,35,,なし,,,
38,音楽,プレイリストにあるのに毎回スキップしてしまう曲がある,○,スキップ,雑な一行,秋,夕,2025-09-22 16:02,曇,246,35,,あり,2,途中で3〜8秒止まる（にじみ）,
39,心,考えても仕方ないのに、同じことを繰り返し考えている。,,,観察,秋,朝,2025-09-23 9:32,雨,158,75,,あり,4,語尾を何度も直す,
40,家族,おばあちゃん、煮物,,,誰かへ,秋,昼,2025-09-25 13:37,晴,153,55,,あり,2,途中で3〜8秒止まる（にじみ）,
41,家族,冷蔵庫にプリンが残り二つ,,,雑な一行,秋,朝,2025-09-26 5:39,晴,316,55,,あり,1,一気に書いて終わり（迷いなし）,
42,お金,財布に1000円,,,断片,秋,朝,2025-09-27 6:25,晴,61,75,,あり,1,一気に書いて終わり（迷いなし）,
43,趣味,積みっぱなしの本が増える。,,,断片,秋,夕,2025-09-28 18:44,雨,311,35,,あり,1,一気に書いて終わり（迷いなし）,
44,友達,友達の結婚式、泣くと思ってなかったのに号泣した,○,いい夜,ちゃんとした一文,秋,夜,2025-09-29 4:08,曇,64,75,,あり,3,書いて全部消して、もう一度,
45,世界,雨の匂いは、季節ごとに違う気がする。,,,断片,秋,朝,2025-09-29 8:26,雨,348,55,,あり,1,一気に書いて終わり（迷いなし）,
46,家族,祖母の家の匂いは、雨の日にいちばん濃くなる。もう無い家だけど。,,,ちゃんとした一文,秋,夜,2025-10-03 0:52,雨,351,55,,あり,4,語尾を何度も直す,
47,お金,小銭が足りなかった、ミスったな,,,断片,秋,夕,2025-10-04 16:50,曇,68,92,,なし,,,
48,友達,改札の前で別れるとき、振り返り方で本当の仲の良さがわかる,,,観察,秋,夕,2025-10-04 19:10,雨,88,55,,あり,3,書いて全部消して、もう一度,
49,恋愛,手を触れるだけど満足,,,断片,秋,昼,2025-10-05 14:23,晴,218,55,,なし,,,
50,仕事,あと何年やるんだろう。,,,問い,秋,夜,2025-10-08 2:45,曇,76,15,,あり,2,途中で3〜8秒止まる（にじみ）,
51,友達,貸したお金、返ってこなくてもいいと思えた時点で、好きじゃないんだな,○,たぶん友達,誰かへ,秋,夜,2025-10-08 3:44,晴,23,55,,あり,1,一気に書いて終わり（迷いなし）,
52,友達,傘、入れてくれてありがとう。,,,誰かへ,秋,夜,2025-10-09 4:11,雨,128,75,,なし,,,
53,趣味,いつ読めばいいんだ、買っただけの本がたくさん,,,問い,秋,朝,2025-10-10 8:16,曇,283,55,,あり,5,誤変換を1回直す,
54,人生,大人って何歳からだ,,,問い,秋,昼,2025-10-10 11:29,晴,113,35,,あり,3,書いて全部消して、もう一度,
55,心,秋晴れの昼は、なんでもできそうな気がする,,,ちゃんとした一文,秋,昼,2025-10-11 13:25,晴,81,35,,なし,,,
56,学校,放課後の誰もいなくなった教室が好き,○,音楽室,ちゃんとした一文,秋,夕,2025-10-11 19:38,曇,141,15,,あり,2,途中で3〜8秒止まる（にじみ）,
57,音楽,朝いちばんに流す曲を、その日の自分に選ばせている。,,,断片,秋,朝,2025-10-14 9:25,曇,126,75,,あり,2,途中で3〜8秒止まる（にじみ）,
58,恋愛,会話が途切れた時の、沈黙すらも心地よい,,,観察,秋,昼,2025-10-17 11:42,曇,186,55,,あり,1,一気に書いて終わり（迷いなし）,
59,生活,気が重い,,,問い,秋,昼,2025-10-17 14:25,曇,356,75,,あり,6,最後の一語だけ書き換えて放つ,
60,仕事,終電、窓に雨、誰もいない車両、,○,終電,断片,秋,夜,2025-10-18 1:33,雨,234,92,,あり,2,途中で3〜8秒止まる（にじみ）,
61,友達,同窓会、行くか迷ってる、,,,断片,秋,昼,2025-10-19 12:09,晴,336,15,,あり,5,誤変換を1回直す,
62,音楽,秋晴れに古いレコードの針おろし埃のなかで父の歌きく,,,三十一文字,秋,夕,2025-10-21 19:33,晴,121,55,,あり,2,途中で3〜8秒止まる（にじみ）,
63,アート,余白が怖い人と、余白が好きな人がいる。私は後者になりたい。,○,余白,ちゃんとした一文,秋,夜,2025-10-21 20:42,曇,161,75,,あり,6,最後の一語だけ書き換えて放つ,
64,世界,ニュースを消したら、部屋が静かすぎた。,,,断片,秋,夜,2025-10-22 1:24,曇,286,55,,あり,1,一気に書いて終わり（迷いなし）,
65,生活,夕日が机の上のコップを、まっすぐに染めていた。,,,ちゃんとした一文,秋,夕,2025-10-22 19:01,晴,173,15,,なし,,,
66,生活,傘さすの、めんどくさ、,○,めんどくさ,雑な一行,秋,朝,2025-10-24 10:31,雨,73,15,,あり,3,書いて全部消して、もう一度,
67,仕事,この案件、たぶん通らない。でも出す。それが仕事だと思ってる。,,,ちゃんとした一文,秋,昼,2025-10-25 14:42,晴,251,55,,あり,2,途中で3〜8秒止まる（にじみ）,
68,恋愛,雨の日の別れ際、あなたの傘だけ先に見えなくなった。,,,ちゃんとした一文,秋,夕,2025-10-25 18:27,雨,193,75,,あり,2,途中で3〜8秒止まる（にじみ）,
69,学校,曇りの日の教室は、時間がゆっくり流れる気がした。,,,ちゃんとした一文,秋,昼,2025-10-27 15:19,曇,16,35,,あり,2,途中で3〜8秒止まる（にじみ）,
70,心,夕焼けって、なんで切ないんだろう。,○,夕焼け,問い,秋,夕,2025-10-28 16:05,晴,258,75,,あり,6,最後の一語だけ書き換えて放つ,
71,友達,曇り空の下の晴れた顔,,,観察,秋,朝,2025-10-31 5:01,曇,211,35,,あり,5,誤変換を1回直す,
72,恋愛,ワイパーの音、ウィンカーの音,,,観察,秋,夜,2025-10-31 23:27,雨,181,35,,あり,2,途中で3〜8秒止まる（にじみ）,
73,仕事,朝いちばんのメール、雨の音を聞きながら返信している。今日も始まる。,○,今日も始まる,ちゃんとした一文,秋,朝,2025-11-04 7:51,雨,41,15,,あり,6,最後の一語だけ書き換えて放つ,
74,生活,夕飯、買って帰る,○,また買って帰る,雑な一行,秋,夕,2025-11-05 18:59,晴,331,92,,あり,2,途中で3〜8秒止まる（にじみ）,
75,いじめ,元気？って、聞けなかったな。,,,誰かへ,秋,夜,2025-11-05 23:26,晴,266,92,,あり,1,一気に書いて終わり（迷いなし）,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
76,人生,曇った昼に決めたことは、案外あとで正しかったりする。,,,ちゃんとした一文,秋,昼,2025-11-06 11:30,曇,101,92,,あり,6,最後の一語だけ書き換えて放つ,
77,学校,どうしてあの時、手をあげられなかったんだろう。,,,問い,秋,朝,2025-11-08 10:01,雨,178,35,,あり,1,一気に書いて終わり（迷いなし）,
78,生活,曇りの朝、目覚ましより先に起きてしまう、,,,断片,秋,朝,2025-11-09 7:10,曇,146,35,,なし,,,
79,アート,誰にも見せない絵こそ自分を投影する,,,誰かへ,秋,夕,2025-11-12 18:46,雨,206,15,,あり,2,途中で3〜8秒止まる（にじみ）,
80,心,夜の曇り空には星が無いのに、なぜか見上げてしまう。,,,ちゃんとした一文,秋,夜,2025-11-12 20:26,曇,201,92,,あり,1,一気に書いて終わり（迷いなし）,
81,世界,秋の昼はあっという間に暮れる、,○,秋の昼,雑な一行,秋,昼,2025-11-13 13:38,曇,303,15,,あり,2,途中で3〜8秒止まる（にじみ）,
82,学校,テスト返却、平均以下、,,,雑な一行,秋,夜,2025-11-14 21:59,曇,213,35,,あり,3,書いて全部消して、もう一度,
83,人生,生きてるだけでえらい,,,雑な一行,秋,夜,2025-11-15 4:12,曇,96,75,,なし,,,
84,恋愛,backnumber沁みる,,,雑な一行,秋,朝,2025-11-15 9:46,晴,296,92,,あり,4,語尾を何度も直す,
85,家族,弟がもう私より背が高い。,,,断片,秋,昼,2025-11-15 13:31,晴,166,92,,あり,2,途中で3〜8秒止まる（にじみ）,
86,人生,まだ言葉にならないこと,,,断片,秋,夜,2025-11-15 20:14,雨,298,92,,あり,4,語尾を何度も直す,
87,いじめ,無視されるより、変に優しくされる方がつらい,,,誰かへ,秋,朝,2025-11-18 7:57,曇,93,75,,なし,,,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
88,家族,夕方の台所、母の赤切れ,,,雑な一行,秋,夕,2025-11-19 18:56,晴,278,35,,あり,6,最後の一語だけ書き換えて放つ,
89,家族,お父さんの寝癖で経年のストレスがわかる,,,断片,秋,朝,2025-11-20 5:32,曇,21,55,,あり,2,途中で3〜8秒止まる（にじみ）,
90,心,曇りの夕方に決めた別れは、案外きれいだった。,,,ちゃんとした一文,秋,夕,2025-11-20 18:22,曇,56,55,,あり,2,途中で3〜8秒止まる（にじみ）,
91,アート,美しいって、誰が決めるんだろう。,,,問い,秋,昼,2025-11-23 12:24,晴,198,92,,あり,2,途中で3〜8秒止まる（にじみ）,
92,生活,昼寝しすぎた、もう夕方、,,,雑な一行,秋,昼,2025-11-24 11:34,曇,323,75,,あり,1,一気に書いて終わり（迷いなし）,
93,学校,夜の教室に忘れ物を取りに戻ったら、知らない場所みたいだった。,,,観察,秋,夜,2025-11-26 21:46,雨,11,15,,あり,5,誤変換を1回直す,
94,人生,雨の朝に見る夢は、なぜかいつも実家だ。,○,雨の朝の夢,観察,秋,朝,2025-11-27 8:21,雨,263,92,,なし,,,
95,友達,秋雨に友の傘へと駆けこんでふたりぶんだけ濡れて笑った,,,三十一文字,秋,昼,2025-11-28 12:56,雨,271,15,,あり,1,一気に書いて終わり（迷いなし）,
96,恋愛,夕焼けの中で手を振る人が、いちばん綺麗に見える。,,,観察,秋,夕,2025-11-28 17:00,晴,36,92,,あり,4,語尾を何度も直す,
97,生活,晴れた夜って、なんで一人だと寂しいんだろう。,,,問い,秋,夜,2025-11-28 20:58,晴,319,55,,あり,3,書いて全部消して、もう一度,
98,家族,冬晴れの縁側で、祖父と何も話さずにいた時間。あれが幸せだった。,,,ちゃんとした一文,冬,昼,2025-12-01 13:49,晴,334,92,,なし,,,
99,友達,冬の夕方、コンビニの肉まん、,,,雑な一行,冬,夕,2025-12-02 18:14,晴,216,35,,あり,2,途中で3〜8秒止まる（にじみ）,
100,学校,冬の夜に一人でいると、なんで昔のこと思い出すんだろう。,,,問い,冬,夜,2025-12-03 1:52,曇,244,15,,あり,1,一気に書いて終わり（迷いなし）,
101,友達,白い息、それだけで少し嬉しい、,,,観察,冬,夜,2025-12-04 0:16,雨,192,55,,あり,5,誤変換を1回直す,
102,世界,冬の朝、蛇口の水が刺さるように冷たい。生きてる感じがする。,○,生きてる感じ,問い,冬,朝,2025-12-06 10:50,雨,241,15,,あり,5,誤変換を1回直す,
103,仕事,手袋の片方、また無くした、,,,雑な一行,冬,夜,2025-12-09 0:25,雪,107,92,,あり,3,書いて全部消して、もう一度,
104,人生,こたつから出られない、以上、,,,ちゃんとした一文,冬,夕,2025-12-13 18:24,雨,269,92,,あり,2,途中で3〜8秒止まる（にじみ）,
105,学校,受験勉強、志望校を下げるか、まだ言えない、,,,断片,冬,朝,2025-12-15 10:37,晴,254,55,,あり,5,誤変換を1回直す,
106,家族,初任給で何か親孝行してあげたいな,,,断片,冬,夜,2025-12-16 4:58,雨,22,35,,あり,1,一気に書いて終わり（迷いなし）,
107,生活,冬の朝、電車が来ない、,,,雑な一行,冬,朝,2025-12-17 6:31,雪,116,35,,あり,2,途中で3〜8秒止まる（にじみ）,
108,恋愛,冬の夜のコンビニは、なんであんなに明るいんだろう。,,,断片,冬,夕,2025-12-20 17:33,晴,14,15,,あり,2,途中で3〜8秒止まる（にじみ）,
109,心,貯金が増えた、うれしい、,,,雑な一行,冬,朝,2025-12-21 8:04,曇,156,55,,あり,3,書いて全部消して、もう一度,
110,生活,冬晴れの昼、布団を干したら太陽の匂いがした。それだけで勝ち。,,,ちゃんとした一文,冬,昼,2025-12-21 11:01,雨,71,92,,なし,,,
111,恋愛,受験当日の朝、母は何も言わずにおにぎりを握っていた。,,,雑な一行,冬,昼,2025-12-22 12:48,雨,229,75,,あり,1,一気に書いて終わり（迷いなし）,
112,人生,白い息が信号の赤に染まって、朝がまだ来ないみたいだった。,,,ちゃんとした一文,冬,昼,2025-12-23 14:03,雪,209,15,,あり,4,語尾を何度も直す,
113,仕事,年賀状、今年も書かないまま、,○,年賀状,断片,冬,夕,2025-12-25 18:00,雪,341,15,,なし,,,
114,恋愛,こたつでみかん,○,こたつ,断片,冬,朝,2025-12-26 10:47,雪,294,75,,なし,,,
115,学校,課題の締め切り、明日,,,問い,冬,昼,2025-12-26 11:16,曇,314,35,,あり,1,一気に書いて終わり（迷いなし）,
116,人生,初給料日、口座残高を三回見た。,○,初給料,断片,冬,夕,2025-12-26 18:35,曇,204,92,,なし,,,
117,生活,夏の満員電車、,○,満員電車,観察,冬,夕,2025-12-29 19:25,雨,289,55,,あり,2,途中で3〜8秒止まる（にじみ）,
118,生活,深夜のコンビニで、店員さんが小声で歌ってた。あれ、よかったな。,○,深夜の歌,三十一文字,冬,昼,2025-12-30 15:27,雪,176,15,,あり,4,語尾を何度も直す,
119,人生,自分へのご褒美、って言い訳が上手くなった、,○,ご褒美,雑な一行,冬,夜,2026-01-01 3:51,雪,277,15,,あり,3,書いて全部消して、もう一度,
120,家族,冬の晴れた昼にする決断は、なぜか後悔しない,,,雑な一行,冬,朝,2026-01-01 10:18,曇,136,92,,あり,3,書いて全部消して、もう一度,
121,お金,試験前夜、シャーペンの芯が切れて、それを理由に少し休んだ。,○,芯が切れて,三十一文字,冬,朝,2026-01-03 7:23,晴,169,92,,あり,3,書いて全部消して、もう一度,
122,生活,冬晴れの朝の白息ひとつだけ吐いて確かめる今日も生きてる,,,三十一文字,冬,朝,2026-01-05 8:36,晴,189,55,,あり,1,一気に書いて終わり（迷いなし）,
123,生活,推しが燃えてるなあ,,,断片,冬,夜,2026-01-06 22:23,曇,139,92,,あり,3,書いて全部消して、もう一度,
124,恋愛,冬の趣味が増えた,,,断片,冬,夜,2026-01-08 0:56,雨,171,92,,あり,1,一気に書いて終わり（迷いなし）,
125,心,課題より先に部屋の掃除を始めてしまうの、なんなんだろう、,○,掃除,雑な一行,冬,夜,2026-01-08 22:35,雪,159,55,,あり,4,語尾を何度も直す,
126,いじめ,あの頃のこと、たまに思い出すけど、もう平気、,,,雑な一行,冬,朝,2026-01-09 8:00,曇,326,75,,あり,2,途中で3〜8秒止まる（にじみ）,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
127,いじめ,あの教室に、戻らなくてよかった、,○,戻らなくてよかった,断片,冬,夜,2026-01-09 23:20,雪,224,55,,あり,3,書いて全部消して、もう一度,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
128,アート,夜中に食べるアイス、背徳、,○,背徳,ちゃんとした一文,冬,朝,2026-01-10 10:33,雪,306,15,,あり,3,書いて全部消して、もう一度,
129,仕事,本の趣味だけは、誰にも合わせたくない、,,,誰かへ,冬,昼,2026-01-11 13:41,曇,59,55,,あり,2,途中で3〜8秒止まる（にじみ）,
130,心,冬晴れの正午、洗ったばかりのシーツ,,,観察,冬,昼,2026-01-14 15:04,雨,91,55,,なし,,,
131,仕事,本日３回目のミス、笑うしかない,,,雑な一行,冬,昼,2026-01-15 13:02,晴,346,35,,なし,,,
132,お金,冬の昼下がり、猫が日向を独り占めしている。,,,ちゃんとした一文,冬,昼,2026-01-15 13:06,曇,39,92,,あり,5,誤変換を1回直す,
133,生活,2026年こそは,,,問い,冬,夕,2026-01-16 16:22,雪,79,15,,なし,,,
134,家族,趣味に締め切りが無いのが、いちばんの贅沢だと思う。,,,雑な一行,冬,昼,2026-01-17 11:15,雪,261,75,,あり,2,途中で3〜8秒止まる（にじみ）,
135,学校,レポート、あと2000字、無理,○,あと二千字,断片,冬,夕,2026-01-17 19:07,曇,301,92,,なし,,,
136,生活,ボーナス、右から左へ、,,,問い,冬,夕,2026-01-17 19:21,晴,66,75,,あり,3,書いて全部消して、もう一度,
137,恋愛,平日の朝の駅,,,ちゃんとした一文,冬,夜,2026-01-17 22:11,雪,297,75,,あり,3,書いて全部消して、もう一度,
138,人生,夜更かしして観た映画のこと、誰にも言わずに一人で抱えていたい。,,,雑な一行,冬,朝,2026-01-18 7:42,晴,84,35,,あり,2,途中で3〜8秒止まる（にじみ）,
139,趣味,コレクション棚が、また一段増えた。,,,問い,冬,昼,2026-01-18 13:19,雨,144,15,,なし,,,
140,家族,冬晴れの昼に淹れたコーヒーが、今日いちばん正しかった。,,,雑な一行,冬,夕,2026-01-18 16:39,雪,321,55,,あり,2,途中で3〜8秒止まる（にじみ）,
141,世界,卒論の締め切りが見えてきて、部屋を片付け始めた。,,,雑な一行,冬,夕,2026-01-18 18:31,曇,99,75,,あり,2,途中で3〜8秒止まる（にじみ）,
142,仕事,きちいな,,,観察,冬,夕,2026-01-19 17:53,雪,46,15,,あり,5,誤変換を1回直す,
143,人生,冬の夜ひとり見上げる星ひとつ願いごとさえ持たぬ大人に,,,三十一文字,冬,夜,2026-01-20 3:56,晴,329,75,,あり,3,書いて全部消して、もう一度,
144,アート,冬は編み物がはかどる、,,,断片,冬,夜,2026-01-21 4:13,雨,54,35,,あり,3,書いて全部消して、もう一度,
145,学校,テスト範囲広すぎだろ,,,断片,冬,昼,2026-01-21 11:16,曇,124,55,,あり,5,誤変換を1回直す,
146,心,貯金する,,,ちゃんとした一文,冬,夕,2026-01-21 18:36,晴,236,92,,あり,5,誤変換を1回直す,
147,学校,校則っている？本当に必要？せめてダウンジャケットくらい着させてよ,,,雑な一行,冬,夕,2026-01-22 18:19,雨,119,35,,あり,4,語尾を何度も直す,
148,生活,深夜ラジオのはがきが読まれた夜のこと、たぶん一生忘れない。,,,雑な一行,冬,朝,2026-01-31 9:03,晴,104,92,,あり,2,途中で3〜8秒止まる（にじみ）,
149,生活,始めた頃の下手さが、ちょっと恋しい。,,,断片,冬,昼,2026-02-01 12:18,晴,6,92,,なし,,,
150,世界,来年やりたいことを三つ書き出した。,,,ちゃんとした一文,冬,昼,2026-02-02 13:17,雪,111,15,,あり,1,一気に書いて終わり（迷いなし）,
151,心,一日を大事にしようとは、まだ思えないでいる。,,,ちゃんとした一文,冬,夕,2026-02-03 19:28,晴,164,75,,なし,,,
152,音楽,雨の日に聴くと沁みる曲があって、それは人に教えたくない。,,,ちゃんとした一文,冬,朝,2026-02-04 9:50,雨,19,35,,あり,6,最後の一語だけ書き換えて放つ,
153,仕事,電車遅延すんなや,,,雑な一行,冬,朝,2026-02-05 6:51,雪,221,55,,なし,,,
154,いじめ,昼ごはんの時間が辛い,,,三十一文字,冬,昼,2026-02-05 11:02,晴,26,55,,あり,2,途中で3〜8秒止まる（にじみ）,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
155,趣味,満ちている,,,観察,冬,夜,2026-02-07 23:53,曇,87,35,,あり,2,途中で3〜8秒止まる（にじみ）,
156,恋愛,彼女の歩く姿勢が好き,,,観察,冬,朝,2026-02-08 8:30,雪,51,35,,なし,,,
157,お金,交通費最近高くね？,,,雑な一行,冬,夕,2026-02-09 16:59,雪,354,55,,あり,2,途中で3〜8秒止まる（にじみ）,
158,人生,生きてればいいことある、って言うやつそのポジティブさ分けてよ,○,元気なやつ,雑な一行,冬,昼,2026-02-11 14:38,雨,281,35,,あり,3,書いて全部消して、もう一度,
159,家族,弟の帰りが遅い,,,雑な一行,冬,夜,2026-02-12 0:17,雨,256,55,,あり,5,誤変換を1回直す,
160,生活,腰、終わり,,,雑な一行,冬,夜,2026-02-12 2:01,雪,309,15,,あり,3,書いて全部消して、もう一度,
161,アート,色を混ぜすぎた,,,断片,冬,夕,2026-02-13 16:36,晴,131,75,,あり,2,途中で3〜8秒止まる（にじみ）,
162,恋愛,雪の日に会いたくなるのは、なんでだと思う？,,,問い,冬,朝,2026-02-15 6:40,雪,339,15,,あり,4,語尾を何度も直す,
163,音楽,楽器ケースを抱えた人が改札を抜けていった。,,,観察,冬,昼,2026-02-15 12:17,晴,249,35,,あり,2,途中で3〜8秒止まる（にじみ）,
164,学校,内申点って不平等,,,雑な一行,冬,夕,2026-02-15 18:27,曇,184,35,,あり,3,書いて全部消して、もう一度,
165,学校,冬の朝、晴れた日の登校路は息が白くて、みんな少しだけ無口になる。,,,ちゃんとした一文,冬,朝,2026-02-16 5:22,晴,359,75,,あり,4,語尾を何度も直す,
166,生活,冷えた廊下の、あの足音,,,断片,冬,夕,2026-02-17 19:31,晴,151,35,,あり,4,語尾を何度も直す,
167,生活,暖房つけっぱなしで寝た,,,雑な一行,冬,夜,2026-02-20 2:20,曇,74,92,,あり,1,一気に書いて終わり（迷いなし）,
168,お金,使うために貯めるのか、貯めるために生きるのか、たまに分からなくなる。,,,ちゃんとした一文,冬,夜,2026-02-20 21:22,晴,2,75,,あり,4,語尾を何度も直す,
169,心,月曜、無理,○,月曜,雑な一行,冬,朝,2026-02-21 8:20,曇,274,15,,あり,5,誤変換を1回直す,
170,音楽,雪の朝の静けさ、あの曲みたい、,,,雑な一行,冬,朝,2026-02-24 6:33,雪,31,75,,あり,1,一気に書いて終わり（迷いなし）,
171,学校,曇りの日の三時間目,,,断片,冬,昼,2026-02-24 11:31,曇,196,75,,あり,2,途中で3〜8秒止まる（にじみ）,
172,心,眠れない夜は,,,雑な一行,冬,夜,2026-02-28 2:51,晴,34,75,,なし,,,
173,恋愛,冬を洗い流していく,,,観察,春,昼,2026-03-01 12:31,雨,60,92,,あり,2,途中で3〜8秒止まる（にじみ）,
174,家族,母の新しい眼鏡、似合ってる、言えなかった、,,,雑な一行,春,夕,2026-03-02 17:23,曇,152,75,,あり,1,一気に書いて終わり（迷いなし）,
175,学校,上履きのゴムの匂い,,,断片,春,昼,2026-03-03 15:54,曇,302,35,,なし,,,
176,音楽,桜って、なんで満開より散り際の方が綺麗なんだろう。,,,問い,春,夜,2026-03-03 22:49,晴,192,92,,あり,2,途中で3〜8秒止まる（にじみ）,
